image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
434-0026-153.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/434-0026-153.jpg,1372,1968,1698,2130,0,0.11563693732023239,3840,2160
434-0026-153.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/434-0026-153.jpg,2017,1963,2255,2134,0,0.11897662281990051,3840,2160
434-0026-153.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/434-0026-153.jpg,1408,1503,1693,1724,0,0.11929337680339813,3840,2160
434-0026-153.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/434-0026-153.jpg,2012,1478,2245,1698,0,0.12856900691986084,3840,2160
434-0026-153.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/434-0026-153.jpg,1884,1464,2104,1722,0,0.19269569218158722,3840,2160
434-0026-153.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/434-0026-153.jpg,1243,1972,1535,2144,0,0.20647498965263367,3840,2160
434-0026-153.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/434-0026-153.jpg,852,1961,1050,2130,0,0.3576829135417938,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,2765,1953,2979,2126,0,0.10294369608163834,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,553,361,1053,755,0,0.11119898408651352,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,1886,1977,2139,2132,0,0.11401300877332687,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,2551,1486,2886,1681,0,0.11965986341238022,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,1963,1504,2287,1693,0,0.11990749090909958,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,2430,1479,2711,1699,0,0.12467437237501144,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,2317,1446,2556,1716,0,0.15263459086418152,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,2002,1982,2274,2128,0,0.1608547419309616,3840,2160
436-0078-83.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-83.jpg,2141,1973,2407,2135,0,0.20667164027690887,3840,2160
436-0078-103.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-103.jpg,3326,104,3580,383,0,0.10349944978952408,3840,2160
436-0078-103.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-103.jpg,1083,1398,2234,1800,0,0.14848269522190094,3840,2160
436-0078-103.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-103.jpg,1819,1973,2152,2116,0,0.15178875625133514,3840,2160
436-0078-103.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-103.jpg,1734,1526,1991,1729,0,0.17220044136047363,3840,2160
436-0078-103.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-103.jpg,3246,51,3676,420,0,0.2000366896390915,3840,2160
436-0078-103.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-103.jpg,1697,1975,1989,2140,0,0.20702117681503296,3840,2160
436-0078-103.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/436-0078-103.jpg,1864,1529,2132,1741,0,0.2405003309249878,3840,2160
433-0013-28.jpg,/home/chandra_codin/fuming_spectre/TrainYourOwnYOLO/Data/Source_Images/Test_Images/433-0013-28.jpg,1746,1229,2604,1662,0,0.10647032409906387,3840,2160
